minsplit	minbucket	maxdepth	rmse.test.rmse	dob	eol	error.message	exec.time
5072	1876	17	150,795540252949	1	NA	NA	113,66
4589	2138	4	165,928105840145	2	NA	NA	58,85
1200	267	3	162,935268274526	3	NA	NA	47,43
2135	534	19	141,784831630979	4	NA	NA	107,53
3893	257	10	142,048276545341	5	NA	NA	98,34
3041	1519	8	143,464081596515	6	NA	NA	91,02
2639	654	4	158,0207398319	7	NA	NA	58,45
6744	2464	4	165,928105840145	8	NA	NA	58,23
6817	2151	7	154,530345242373	9	NA	NA	84,22
3797	786	15	142,048276545341	10	NA	NA	106,91
7463	2995	16	152,04333731564	11	NA	NA	102,03
4984	1563	4	163,302289413464	12	NA	NA	58,03
7455	2547	5	160,409127081041	13	NA	NA	67,75
6892	282	15	142,048276545341	14	NA	NA	106,91
6597	2715	20	150,75786815945	15	NA	NA	105,31
6161	1453	16	150,795540252949	16	NA	NA	106,33
7780	2841	15	152,04333731564	17	NA	NA	101,55
7352	3182	13	152,04333731564	18	NA	NA	101,53
6834	1587	6	156,829210090356	19	NA	NA	77,5699999999999
6091	2024	19	150,795540252949	20	NA	NA	109,04
983	351	3	162,935268274526	21	NA	NA	47,8099999999999
5054	1691	6	156,829210090356	22	NA	NA	78,47
7853	840	3	170,38792886806	23	NA	NA	47,8300000000002
5692	2401	7	154,530345242373	24	NA	NA	86,0900000000001
4063	448	6	148,437929946788	25	NA	NA	78,9199999999996
568	262	18	139,359481557499	26	NA	NA	108,5
4268	1321	8	146,741281603885	27	NA	NA	91,25
7792	2680	19	150,795540252949	28	NA	NA	106,67
2254	619	9	142,048276545341	29	NA	NA	96,6400000000003
5508	2697	20	150,75786815945	30	NA	NA	106,95
288	24	18	132,097338248954	31	NA	NA	108,39
4647	1088	6	148,437929946788	32	NA	NA	78,8600000000001
5469	2700	4	165,928105840145	33	NA	NA	58,8099999999999
7461	413	13	150,538558269159	34	NA	NA	105,17
6003	36	10	142,048276545341	35	NA	NA	99,5
3625	1785	14	150,208526564698	36	NA	NA	107,33
6439	1115	4	158,0207398319	37	NA	NA	58,7400000000002
3278	483	14	142,048276545341	38	NA	NA	107,84
6621	3226	18	152,04333731564	39	NA	NA	102,44
5679	2271	7	154,530345242373	40	NA	NA	85,5999999999999
6845	1916	3	170,615016157339	41	NA	NA	47,6399999999999
2501	1184	14	141,802661819284	42	NA	NA	107,56
7425	1747	10	150,795540252949	43	NA	NA	100,59
6813	740	13	142,048276545341	44	NA	NA	106,21
4701	1286	13	146,370355086827	45	NA	NA	105,24
1605	189	13	139,359481557499	46	NA	NA	105,42
1792	338	3	162,935268274526	47	NA	NA	47,2200000000003
6625	2231	11	150,795540252949	48	NA	NA	100,46
2986	1105	17	142,048276545341	49	NA	NA	107,900000000001
7140	1483	11	150,795540252949	50	NA	NA	100,27
